"Latitude (decimal degrees):	36.924"
"Longitude (decimal degrees):	14.697"
"Elevation (m):	626"
"Radiation database:	PVGIS-SARAH2"


Slope: 32 deg. (optimum)
Azimuth: -6 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20191231:2209,0.0,0.0,0.0,0.0,4.42,1.93,0.0
20191231:2309,0.0,0.0,0.0,0.0,3.95,1.93,0.0
20200101:0009,0.0,0.0,0.0,0.0,3.64,2.0,0.0
20200101:0109,0.0,0.0,0.0,0.0,3.87,2.21,0.0
20200101:0209,0.0,0.0,0.0,0.0,3.73,2.21,0.0
20200101:0309,0.0,0.0,0.0,0.0,3.51,2.14,0.0
20200101:0409,0.0,0.0,0.0,0.0,3.23,2.07,0.0
20200101:0509,0.0,0.0,0.0,0.0,2.88,2.0,0.0
20200101:0609,0.0,0.0,0.0,0.0,2.56,2.0,0.0
20200101:0709,49.18,67.27,1.14,8.5,2.5,1.72,0.0
20200101:0809,158.05,159.65,3.13,17.3,5.75,1.52,0.0
20200101:0909,131.12,214.53,4.07,24.25,8.86,1.79,0.0
20200101:1009,173.1,255.96,5.05,28.7,10.2,1.79,0.0
20200101:1109,734.57,144.94,7.79,30.05,11.03,1.52,0.0
20200101:1209,702.65,128.16,7.32,28.12,11.63,1.52,0.0
20200101:1309,549.71,128.58,5.85,23.19,12.03,1.66,0.0
20200101:1409,361.86,105.36,3.73,15.86,12.18,2.0,0.0
20200101:1509,157.4,54.9,1.29,6.79,11.8,2.0,0.0
20200101:1609,0.0,0.0,0.0,0.0,10.69,2.28,0.0
20200101:1709,0.0,0.0,0.0,0.0,9.6,2.48,0.0
20200101:1809,0.0,0.0,0.0,0.0,8.65,2.55,0.0
20200101:1909,0.0,0.0,0.0,0.0,7.95,2.14,0.0
20200101:2009,0.0,0.0,0.0,0.0,7.06,2.21,0.0
20200101:2109,0.0,0.0,0.0,0.0,6.44,2.07,0.0
20200101:2209,0.0,0.0,0.0,0.0,5.93,2.07,0.0
20200101:2309,0.0,0.0,0.0,0.0,5.52,2.14,0.0
20200102:0009,0.0,0.0,0.0,0.0,4.92,1.93,0.0
20200102:0109,0.0,0.0,0.0,0.0,4.2,1.66,0.0
20200102:0209,0.0,0.0,0.0,0.0,4.14,1.45,0.0
20200102:0309,0.0,0.0,0.0,0.0,4.22,1.38,0.0
20200102:0409,0.0,0.0,0.0,0.0,4.28,1.38,0.0
20200102:0509,0.0,0.0,0.0,0.0,4.31,1.38,0.0
20200102:0609,0.0,0.0,0.0,0.0,4.51,1.31,0.0
20200102:0709,225.98,80.03,1.73,8.49,4.11,1.38,0.0
20200102:0809,453.44,120.12,4.19,17.31,7.0,0.83,0.0
20200102:0909,637.32,131.2,6.25,24.29,10.34,0.83,0.0
20200102:1009,748.94,131.3,7.56,28.76,11.42,0.69,0.0
20200102:1109,756.09,138.74,7.91,30.14,11.94,0.07,0.0
20200102:1209,660.91,151.28,7.25,28.23,12.19,0.34,0.0
20200102:1309,559.13,127.52,5.92,23.31,12.28,0.62,0.0
20200102:1409,362.22,107.92,3.77,15.99,12.08,1.03,0.0
20200102:1509,152.26,58.33,1.32,6.92,11.44,1.17,0.0
20200102:1609,0.0,0.0,0.0,0.0,10.52,1.24,0.0
20200102:1709,0.0,0.0,0.0,0.0,9.3,1.17,0.0
20200102:1809,0.0,0.0,0.0,0.0,8.43,1.31,0.0
20200102:1909,0.0,0.0,0.0,0.0,8.04,1.38,0.0
20200102:2009,0.0,0.0,0.0,0.0,7.66,1.38,0.0
20200102:2109,0.0,0.0,0.0,0.0,7.49,1.45,0.0
20200102:2209,0.0,0.0,0.0,0.0,7.93,1.24,0.0
20200102:2309,0.0,0.0,0.0,0.0,8.89,0.76,0.0
20200103:0009,0.0,0.0,0.0,0.0,8.59,0.55,0.0
20200103:0109,0.0,0.0,0.0,0.0,8.43,0.55,0.0
20200103:0209,0.0,0.0,0.0,0.0,7.99,0.69,0.0
20200103:0309,0.0,0.0,0.0,0.0,7.4,0.9,0.0
20200103:0409,0.0,0.0,0.0,0.0,6.97,1.1,0.0
20200103:0509,0.0,0.0,0.0,0.0,5.64,1.31,0.0
20200103:0609,0.0,0.0,0.0,0.0,5.14,1.31,0.0
20200103:0709,222.33,81.15,1.73,8.48,4.92,1.45,0.0
20200103:0809,459.3,122.26,4.25,17.33,7.44,0.97,0.0
20200103:0909,622.8,140.64,6.25,24.33,10.42,0.69,0.0
20200103:1009,745.88,136.95,7.61,28.83,11.34,0.07,0.0
20200103:1109,752.95,145.68,7.97,30.24,11.95,0.83,0.0
20200103:1209,710.21,133.99,7.47,28.35,12.27,1.38,0.0
20200103:1309,559.31,131.56,5.98,23.44,12.3,1.66,0.0
20200103:1409,364.51,110.65,3.83,16.13,12.07,1.72,0.0
20200103:1509,194.28,51.99,1.44,7.06,11.65,1.52,0.0
20200103:1609,0.0,0.0,0.0,0.0,10.62,1.72,0.0
20200103:1709,0.0,0.0,0.0,0.0,9.49,1.79,0.0
20200103:1809,0.0,0.0,0.0,0.0,8.57,1.86,0.0
20200103:1909,0.0,0.0,0.0,0.0,8.05,1.93,0.0
20200103:2009,0.0,0.0,0.0,0.0,7.53,1.79,0.0
20200103:2109,0.0,0.0,0.0,0.0,6.95,1.86,0.0
20200103:2209,0.0,0.0,0.0,0.0,6.4,2.0,0.0
20200103:2309,0.0,0.0,0.0,0.0,5.96,2.14,0.0
20200104:0009,0.0,0.0,0.0,0.0,5.68,2.14,0.0
20200104:0109,0.0,0.0,0.0,0.0,5.42,2.14,0.0
20200104:0209,0.0,0.0,0.0,0.0,5.05,2.14,0.0
20200104:0309,0.0,0.0,0.0,0.0,4.77,2.21,0.0
20200104:0409,0.0,0.0,0.0,0.0,4.78,2.21,0.0
20200104:0509,0.0,0.0,0.0,0.0,4.67,2.34,0.0
20200104:0609,0.0,0.0,0.0,0.0,4.53,2.41,0.0
20200104:0709,215.31,79.93,1.7,8.49,4.72,2.14,0.0
20200104:0809,449.5,121.06,4.19,17.35,7.1,1.86,0.0
20200104:0909,621.63,137.31,6.22,24.38,9.33,1.93,0.0
20200104:1009,679.92,161.6,7.37,28.9,10.71,2.0,0.0
20200104:1109,727.05,152.46,7.85,30.34,11.5,2.28,0.0
20200104:1209,673.65,145.82,7.32,28.47,12.17,2.83,0.0
20200104:1309,528.62,141.61,5.88,23.58,12.68,3.72,0.0
20200104:1409,324.39,121.37,3.71,16.27,12.85,4.41,0.0
20200104:1509,127.68,60.7,1.29,7.2,12.53,4.55,0.0
20200104:1609,0.0,0.0,0.0,0.0,11.65,4.55,0.0
20200104:1709,0.0,0.0,0.0,0.0,11.03,4.55,0.0
20200104:1809,0.0,0.0,0.0,0.0,10.49,4.41,0.0
20200104:1909,0.0,0.0,0.0,0.0,10.2,3.79,0.0
20200104:2009,0.0,0.0,0.0,0.0,9.67,3.52,0.0
20200104:2109,0.0,0.0,0.0,0.0,9.07,3.52,0.0
20200104:2209,0.0,0.0,0.0,0.0,8.5,3.45,0.0
20200104:2309,0.0,0.0,0.0,0.0,8.15,3.24,0.0
20200105:0009,0.0,0.0,0.0,0.0,7.74,3.17,0.0
20200105:0109,0.0,0.0,0.0,0.0,7.29,3.31,0.0
20200105:0209,0.0,0.0,0.0,0.0,7.21,3.38,0.0
20200105:0309,0.0,0.0,0.0,0.0,7.04,3.38,0.0
20200105:0409,0.0,0.0,0.0,0.0,6.9,3.38,0.0
20200105:0509,0.0,0.0,0.0,0.0,6.76,3.52,0.0
20200105:0609,0.0,0.0,0.0,0.0,6.53,3.45,0.0
20200105:0709,204.93,79.78,1.67,8.5,7.13,3.52,0.0
20200105:0809,435.2,122.5,4.13,17.38,8.96,3.24,0.0
20200105:0909,616.52,136.7,6.19,24.43,10.61,3.24,0.0
20200105:1009,714.36,144.85,7.47,28.99,11.76,3.38,0.0
20200105:1109,643.74,185.4,7.56,30.45,12.91,3.66,0.0
20200105:1209,706.81,128.78,7.43,28.6,13.68,4.0,0.0
20200105:1309,326.61,198.6,5.13,23.72,13.97,4.34,0.0
20200105:1409,182.38,143.78,3.17,16.41,13.86,4.0,0.0
20200105:1509,102.96,62.71,1.25,7.35,13.05,3.79,0.0
20200105:1609,0.0,0.0,0.0,0.0,11.57,4.34,0.0
20200105:1709,0.0,0.0,0.0,0.0,10.3,5.03,0.0
20200105:1809,0.0,0.0,0.0,0.0,9.34,5.45,0.0
20200105:1909,0.0,0.0,0.0,0.0,8.91,5.45,0.0
20200105:2009,0.0,0.0,0.0,0.0,8.49,5.72,0.0
20200105:2109,0.0,0.0,0.0,0.0,7.98,5.38,0.0
20200105:2209,0.0,0.0,0.0,0.0,7.42,4.55,0.0
20200105:2309,0.0,0.0,0.0,0.0,6.84,4.14,0.0
20200106:0009,0.0,0.0,0.0,0.0,6.13,3.79,0.0
20200106:0109,0.0,0.0,0.0,0.0,5.39,3.52,0.0
20200106:0209,0.0,0.0,0.0,0.0,4.94,3.59,0.0
20200106:0309,0.0,0.0,0.0,0.0,4.51,3.72,0.0
20200106:0409,0.0,0.0,0.0,0.0,4.33,4.07,0.0
20200106:0509,0.0,0.0,0.0,0.0,4.25,4.28,0.0
20200106:0609,0.0,0.0,0.0,0.0,4.12,4.28,0.0
20200106:0709,230.15,80.48,1.76,8.51,4.85,3.86,0.0
20200106:0809,456.11,124.63,4.28,17.42,5.88,3.66,0.0
20200106:0909,641.87,136.96,6.39,24.5,6.95,4.34,0.0
20200106:1009,728.89,150.04,7.65,29.08,7.55,4.48,0.0
20200106:1109,619.71,206.29,7.62,30.57,8.1,4.55,0.0
20200106:1209,684.12,151.66,7.5,28.74,8.51,4.55,0.0
20200106:1309,528.7,150.74,6.01,23.86,8.72,4.62,0.0
20200106:1409,376.73,111.91,3.98,16.57,8.53,4.55,0.0
20200106:1509,169.09,61.52,1.49,7.5,8.0,4.14,0.0
20200106:1609,0.0,0.0,0.0,0.0,6.91,3.93,0.0
20200106:1709,0.0,0.0,0.0,0.0,5.9,3.79,0.0
20200106:1809,0.0,0.0,0.0,0.0,5.18,3.59,0.0
20200106:1909,0.0,0.0,0.0,0.0,5.32,2.9,0.0
20200106:2009,0.0,0.0,0.0,0.0,4.77,2.55,0.0
20200106:2109,0.0,0.0,0.0,0.0,4.11,2.21,0.0
20200106:2209,0.0,0.0,0.0,0.0,3.47,2.0,0.0
20200106:2309,0.0,0.0,0.0,0.0,3.04,1.93,0.0
20200107:0009,0.0,0.0,0.0,0.0,2.61,1.93,0.0
20200107:0109,0.0,0.0,0.0,0.0,2.25,1.93,0.0
20200107:0209,0.0,0.0,0.0,0.0,1.95,1.93,0.0
20200107:0309,0.0,0.0,0.0,0.0,1.71,1.93,0.0
20200107:0409,0.0,0.0,0.0,0.0,1.58,2.0,0.0
20200107:0509,0.0,0.0,0.0,0.0,1.55,2.07,0.0
20200107:0609,0.0,0.0,0.0,0.0,1.75,2.21,0.0
20200107:0709,232.44,78.95,1.76,8.53,2.36,2.28,0.0
20200107:0809,452.6,120.85,4.24,17.46,5.02,2.14,0.0
20200107:0909,626.97,137.07,6.3,24.57,7.46,2.34,0.0
20200107:1009,727.2,143.71,7.59,29.18,8.62,2.34,0.0
20200107:1109,735.98,152.16,7.97,30.69,9.53,2.14,0.0
20200107:1209,683.97,146.95,7.47,28.88,10.18,1.72,0.0
20200107:1309,560.87,132.97,6.09,24.02,10.49,1.31,0.0
20200107:1409,388.47,106.67,4.03,16.72,10.62,1.24,0.0
20200107:1509,169.37,62.46,1.52,7.66,10.38,0.69,0.0
20200107:1609,0.0,0.0,0.0,0.0,9.53,0.34,0.0
20200107:1709,0.0,0.0,0.0,0.0,8.52,0.76,0.0
20200107:1809,0.0,0.0,0.0,0.0,6.97,1.24,0.0
20200107:1909,0.0,0.0,0.0,0.0,8.62,0.9,0.0
20200107:2009,0.0,0.0,0.0,0.0,8.49,0.62,0.0
20200107:2109,0.0,0.0,0.0,0.0,8.26,0.28,0.0
20200107:2209,0.0,0.0,0.0,0.0,7.91,0.41,0.0
20200107:2309,0.0,0.0,0.0,0.0,7.69,0.83,0.0
20200108:0009,0.0,0.0,0.0,0.0,7.26,0.97,0.0
20200108:0109,0.0,0.0,0.0,0.0,6.56,1.03,0.0
20200108:0209,0.0,0.0,0.0,0.0,6.54,1.03,0.0
20200108:0309,0.0,0.0,0.0,0.0,6.89,0.97,0.0
20200108:0409,0.0,0.0,0.0,0.0,6.71,1.03,0.0
20200108:0509,0.0,0.0,0.0,0.0,5.58,1.38,0.0
20200108:0609,0.0,0.0,0.0,0.0,5.04,1.72,0.0
20200108:0709,144.6,80.66,1.52,8.56,5.87,2.14,0.0
20200108:0809,133.6,156.24,3.01,17.51,7.63,2.28,0.0
20200108:0909,76.03,200.87,3.62,24.64,9.17,2.76,0.0
20200108:1009,26.67,206.16,3.5,29.28,9.98,3.66,0.0
20200108:1109,0.0,149.75,2.44,30.82,10.18,4.21,0.0
20200108:1209,20.72,197.54,3.34,29.03,10.44,4.07,0.0
20200108:1309,198.16,212.62,4.54,24.18,10.52,4.21,0.0
20200108:1409,5.91,97.96,1.62,16.89,10.35,4.34,0.0
20200108:1509,13.68,47.77,0.81,7.82,10.03,3.72,0.0
20200108:1609,0.0,0.0,0.0,0.0,9.35,3.17,0.0
20200108:1709,0.0,0.0,0.0,0.0,8.53,3.1,0.0
20200108:1809,0.0,0.0,0.0,0.0,8.13,3.31,0.0
20200108:1909,0.0,0.0,0.0,0.0,7.59,3.52,0.0
20200108:2009,0.0,0.0,0.0,0.0,7.32,3.52,0.0
20200108:2109,0.0,0.0,0.0,0.0,6.98,3.66,0.0
20200108:2209,0.0,0.0,0.0,0.0,6.81,3.79,0.0
20200108:2309,0.0,0.0,0.0,0.0,6.84,3.72,0.0
20200109:0009,0.0,0.0,0.0,0.0,6.56,3.45,0.0
20200109:0109,0.0,0.0,0.0,0.0,6.23,3.17,0.0
20200109:0209,0.0,0.0,0.0,0.0,5.81,3.03,0.0
20200109:0309,0.0,0.0,0.0,0.0,5.31,2.9,0.0
20200109:0409,0.0,0.0,0.0,0.0,4.97,2.9,0.0
20200109:0509,0.0,0.0,0.0,0.0,4.9,2.9,0.0
20200109:0609,0.0,0.0,0.0,0.0,4.79,2.9,0.0
20200109:0709,226.95,79.42,1.76,8.6,4.93,2.55,0.0
20200109:0809,447.46,122.96,4.25,17.57,7.14,2.28,0.0
