mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
gennaio;mercoledì;01/01/2020 - 00:09;0;0;0;0;4,42;;9,41;(calcolo effettuato su python);1.046;3.600;86400;2678400;893;769;93,2;1865,75;47138
;;01/01/2020 - 01:09;0;0;0;0;3,95;;;;ZONA C;;;;;;96,0;;
;;01/01/2020 - 02:09;0;0;0;0;3,64;;;;15/11 - 31/3;;;;;;97,9;;
;;01/01/2020 - 03:09;0;0;0;0;3,87;;;;(calcolo effettuato su python);;;;;;96,5;;
;;01/01/2020 - 04:09;0;0;0;0;3,73;;;;;;;;;;97,3;;
;;01/01/2020 - 05:09;0;0;0;0;3,51;;;;;;;;;;98,7;;
;;01/01/2020 - 06:09;0;0;0;0;3,23;;;;;;;;;;100,3;;
;;01/01/2020 - 07:09;0;0;0;0;2,88;;;;;;;;;;102,4;;
;;01/01/2020 - 08:09;0;0;0;0;2,56;;;;;;;;;;104,3;;
;;01/01/2020 - 09:09;49,18;67,27;1,14;8,5;2,5;;;;;;;;;;104,7;;
;;01/01/2020 - 10:09;158,05;159,65;3,13;17,3;5,75;;;;;;;;;;85,3;;
;;01/01/2020 - 11:09;131,12;214,53;4,07;24,25;8,86;;;;;;;;;;66,7;;
;;01/01/2020 - 12:09;173,1;255,96;5,05;28,7;10,2;;;;;;;;;;58,6;;
;;01/01/2020 - 13:09;734,57;144,94;7,79;30,05;11,03;;;;;;;;;;53,7;;
;;01/01/2020 - 14:09;702,65;128,16;7,32;28,12;11,63;;;;;;;;;;50,1;;
;;01/01/2020 - 15:09;549,71;128,58;5,85;23,19;12,03;;;;;;;;;;47,7;;
;;01/01/2020 - 16:09;361,86;105,36;3,73;15,86;12,18;;;;;;;;;;46,8;;
;;01/01/2020 - 17:09;157,4;54,9;1,29;6,79;11,8;;;;;;;;;;49,1;;
;;01/01/2020 - 18:09;0;0;0;0;10,69;;;;;;;;;;55,7;;
;;01/01/2020 - 19:09;0;0;0;0;9,6;;;;;;;;;;62,2;;
;;01/01/2020 - 20:09;0;0;0;0;8,65;;;;;;;;;;67,9;;
;;01/01/2020 - 21:09;0;0;0;0;7,95;;;;;;;;;;72,1;;
;;01/01/2020 - 22:09;0;0;0;0;7,06;;;;;;;;;;77,4;;
;;01/01/2020 - 23:09;0;0;0;0;6,44;7,01;;6,71;;;;;;;81,1;;
;giovedì;02/01/2020 - 00:09;0;0;0;0;5,93;;;;;;;;;;84,2;1757,39;
;;02/01/2020 - 01:09;0;0;0;0;5,52;;;;;;;;;;86,6;;
;;02/01/2020 - 02:09;0;0;0;0;4,92;;;;;;;;;;90,2;;
;;02/01/2020 - 03:09;0;0;0;0;4,2;;;;;;;;;;94,5;;
;;02/01/2020 - 04:09;0;0;0;0;4,14;;;;;;;;;;94,9;;
;;02/01/2020 - 05:09;0;0;0;0;4,22;;;;;;;;;;94,4;;
;;02/01/2020 - 06:09;0;0;0;0;4,28;;;;;;;;;;94,1;;
;;02/01/2020 - 07:09;0;0;0;0;4,31;;;;;;;;;;93,9;;
;;02/01/2020 - 08:09;0;0;0;0;4,51;;;;;;;;;;92,7;;
;;02/01/2020 - 09:09;225,98;80,03;1,73;8,49;4,11;;;;;;;;;;95,1;;
;;02/01/2020 - 10:09;453,44;120,12;4,19;17,31;7;;;;;;;;;;77,8;;
;;02/01/2020 - 11:09;637,32;131,2;6,25;24,29;10,34;;;;;;;;;;57,8;;
;;02/01/2020 - 12:09;748,94;131,3;7,56;28,76;11,42;;;;;;;;;;51,3;;
;;02/01/2020 - 13:09;756,09;138,74;7,91;30,14;11,94;;;;;;;;;;48,2;;
